MOLECULE_ID;SMILES;CELL_LINE;TEST_TYPE;RACEMAT;R;S;RR;SS;RS;SR;CIS;TRANS;INDOLE;IC50;Source;Reference
US202311795164B1_41;C1CC(C1)N2C=C(C=N2)N3C(=O)C(=CC(=N3)C4=CC=C(C=C4)Cl)C(=O)N[C@H](CO)C(F)(F)F;0;Luminescence;0;1;0;0;0;0;0;0;0;0;1650;patent;US202311795164B1
US202311795164B1_42;C[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN(N=C2)C3CCC3)C4=CC=C(C=C4)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;1570;patent;US202311795164B1
US202311795164B1_43;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N[C@@H]4COC[C@@H]4O;0;Luminescence;1;0;0;0;0;0;0;1;0;0;23;patent;US202311795164B1
US202311795164B1_46;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)OC(F)(F)F)C(=O)N[C@H]4CCCC[C@H]4O;0;Luminescence;0;0;0;0;0;0;1;0;0;0;1.48;patent;US202311795164B1
US202311795164B1_47;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)OC(F)(F)F)C(=O)N[C@H](CO)C(F)(F)F;0;Luminescence;0;1;0;0;0;0;0;0;0;0;1.52;patent;US202311795164B1
US202311795164B1_48;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N[C@H]4CCCC[C@H]4O;0;Luminescence;0;0;0;0;0;0;1;0;0;0;2.49;patent;US202311795164B1
US202311795164B1_49;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N[C@H]4CCC[C@@H]4O;0;Luminescence;0;0;0;0;1;0;0;0;0;0;6.5;patent;US202311795164B1
US202311795164B1_50;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N[C@H]4CCC[C@H]4O;0;Luminescence;0;0;0;0;0;0;1;0;0;0;8.39;patent;US202311795164B1
US202311795164B1_51;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N[C@H]4CCC[C@@H]4O;0;Luminescence;1;0;0;0;0;0;0;0;1;0;9.54;patent;US202311795164B1
US202311795164B1_52;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)C(F)F)C(=O)N[C@@H]4CCC[C@H]4O;0;Luminescence;1;0;0;0;0;0;0;0;1;0;11.5;patent;US202311795164B1
US202311795164B1_53;C[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN(N=C2)C)C3=CC=C(C=C3)OC(F)(F)F;0;Luminescence;0;0;1;0;0;0;0;0;0;0;11.6;patent;US202311795164B1
US202311795164B1_54;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CN=C(C=C3)C(F)F)C(=O)N[C@H]4CCCC[C@H]4O;0;Luminescence;0;0;0;0;0;0;1;0;0;0;14.3;patent;US202311795164B1
US202311795164B1_55;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)OC(F)(F)F)C(=O)N[C@H]4COC[C@H]4O;0;Luminescence;1;0;0;0;0;0;0;1;0;0;17.9;patent;US202311795164B1
US202311795164B1_58;C[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN(N=C2)C)C3=CC=C(C=C3)C(F)F;0;Luminescence;0;0;1;0;0;0;0;0;0;0;18.6;patent;US202311795164B1
US202311795164B1_59;CC(C)(CNC(=O)C1=CC(=NN(C1=O)C2=CN(N=C2)C)C3=CC=C(C=C3)OC(F)(F)F)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;20;patent;US202311795164B1
US202311795164B1_60;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)C(F)F)C(=O)N[C@@H]4COC[C@@H]4O;0;Luminescence;1;0;0;0;0;0;0;1;0;0;21.8;patent;US202311795164B1
US202311795164B1_62;CC(C)(CNC(=O)C1=CC(=NN(C1=O)C2=CN(N=C2)C)C3=CC=C(C=C3)C(F)F)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;29.5;patent;US202311795164B1
US202311795164B1_63;CN1C=C(C=N1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)OC(F)(F)F)C(=O)N[C@H]4COC[C@@H]4O;0;Luminescence;1;0;0;0;0;0;0;0;1;0;81;patent;US202311795164B1
US202311795164B1_66;C[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN(N=C2)C)C3=CN=C(C=C3)C(F)F;0;Luminescence;0;0;1;0;0;0;0;0;0;0;259;patent;US202311795164B1
US202311795164B1_67;CC(C)(CNC(=O)C1=CC(=NN(C1=O)C2=CN(N=C2)C)C3=CC=C(C=C3)C(F)(F)F)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;4.3;patent;US202311795164B1
US202311795164B1_68;C[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;24.2;patent;US202311795164B1
